row ID,row m/z,row retention time,5101-b1-control_c18neg_82.mzML Peak height,5105-b3-lyc_c18neg_21.mzML Peak height,5112-b1-beta_c18neg_34.mzML Peak height,5107-b1-beta_c18neg_29.mzML Peak height,5105-b1-lyc_c18neg_76.mzML Peak height,5102-b1-control_c18neg_5.mzML Peak height,5101-b3-control_c18neg_66.mzML Peak height,5103-b1-lyc_c18neg_35.mzML Peak height,5104-b3-lyc_c18neg_32.mzML Peak height,5109-b3-beta_c18neg_81.mzML Peak height,5104-b1-lyc_c18neg_10.mzML Peak height,5108-b1-control_c18neg_71.mzML Peak height,5113-b3-beta_c18neg_47.mzML Peak height,5111-b1-control_c18neg_4.mzML Peak height,5109-b1-beta_c18neg_65.mzML Peak height,5111-b3-control_c18neg_39.mzML Peak height,5110-b1-lyc_c18neg_59.mzML Peak height,5102-b3-control_c18neg_33.mzML Peak height,5108-b3-control_c18neg_22.mzML Peak height,5103-b3-lyc_c18neg_63.mzML Peak height,5107-b3-beta_c18neg_28.mzML Peak height,5112-b3-beta_c18neg_56.mzML Peak height,5113-b1-beta_c18neg_53.mzML Peak height,5110-b3-lyc_c18neg_84.mzML Peak height,5114-b1-beta_c18neg_26.mzML Peak height,5114-b3-beta_c18neg_23.mzML Peak height,5122-b3-lyc_c18neg_75.mzML Peak height,5124-b3-control_c18neg_68.mzML Peak height,5117-b3-lyc_c18neg_2.mzML Peak height,5120-b1-beta_c18neg_72.mzML Peak height,5115-b1-lyc_c18neg_36.mzML Peak height,5125-b3-control_c18neg_51.mzML Peak height,5116-b3-control_c18neg_20.mzML Peak height,5126-b3-beta_c18neg_24.mzML Peak height,5118-b3-lyc_c18neg_9.mzML Peak height,5117-b1-lyc_c18neg_46.mzML Peak height,5123-b3-control_c18neg_40.mzML Peak height,5115-b3-lyc_c18neg_70.mzML Peak height,5122-b1-lyc_c18neg_14.mzML Peak height,5125-b1-control_c18neg_80.mzML Peak height,5123-b1-control_c18neg_11.mzML Peak height,5116-b1-control_c18neg_6.mzML Peak height,5120-b3-beta_c18neg_54.mzML Peak height,5121-b1-beta_c18neg_69.mzML Peak height,5121-b3-beta_c18neg_48.mzML Peak height,5118-b1-lyc_c18neg_57.mzML Peak height,5124-b1-control_c18neg_45.mzML Peak height,5119-b3-control_c18neg_58.mzML Peak height,5119-b1-control_c18neg_74.mzML Peak height,5127-b1-control_c18neg_30.mzML Peak height,PB2_c18neg_3.mzML Peak height,PB3_c18neg_4.mzML Peak height,PB1_c18neg_2.mzML Peak height,5131-b1-beta_c18neg_38.mzML Peak height,5135-b1-lyc_c18neg_12.mzML Peak height,5129-b3-lyc_c18neg_16.mzML Peak height,5131-b3-beta_c18neg_3.mzML Peak height,5134-b3-beta_c18neg_64.mzML Peak height,5133-b3-control_c18neg_15.mzML Peak height,5127-b3-control_c18neg_83.mzML Peak height,5126-b1-beta_c18neg_62.mzML Peak height,5136-b1-beta_c18neg_44.mzML Peak height,5133-b1-control_c18neg_27.mzML Peak height,5134-b1-beta_c18neg_42.mzML Peak height,5135-b3-lyc_c18neg_18.mzML Peak height,5128-b1-lyc_c18neg_8.mzML Peak height,5128-b3-lyc_c18neg_60.mzML Peak height,5136-b3-beta_c18neg_77.mzML Peak height,5132-b1-beta_c18neg_41.mzML Peak height,5132-b3-beta_c18neg_52.mzML Peak height,5129-b1-lyc_c18neg_78.mzML Peak height,5130-b3-lyc_c18neg_50.mzML Peak height,5130-b1-lyc_c18neg_17.mzML Peak height,QC2_c18neg_7.mzML Peak height,QC1_c18neg_1.mzML Peak height,QC3_c18neg_13.mzML Peak height,QC4_c18neg_19.mzML Peak height,QC5_c18neg_25.mzML Peak height,QC7_c18neg_37.mzML Peak height,QC8_c18neg_43.mzML Peak height,QC6_c18neg_31.mzML Peak height,QC14_c18neg_79.mzML Peak height,QC13_c18neg_73.mzML Peak height,QC12_c18neg_67.mzML Peak height,QC10_c18neg_55.mzML Peak height,QC15_c18neg_85.mzML Peak height,QC11_c18neg_61.mzML Peak height,QC9_c18neg_49.mzML Peak height,
24,955.9718760000279,0.2873805,16225.593,70863.31,61402.996,57441.508,22756.654,57820.188,18121.133,67114.16,43435.684,18192.463,68400.06,18902.936,60690.785,65890.22,17451.564,65668.86,60146.863,47341.82,67475.62,20584.43,69688.6,18194.268,16512.99,17677.465,57368.16,59915.69,18967.092,16758.291,72860.664,21969.93,73921.484,19156.229,79996.04,52896.133,72544.36,51923.156,84791.99,18700.992,62936.86,18844.453,63881.51,50829.703,19557.502,18619.732,17162.76,17275.545,17093.559,17533.121,20642.086,62682.18,94245.164,85686.0,83562.82,82916.93,62621.33,64427.254,66250.234,19794.28,75586.42,19130.994,19078.287,66895.04,58126.965,16143.393,60674.535,57702.195,18034.088,17794.838,90158.09,14985.385,17102.3,45915.965,55463.586,70065.44,75022.305,56961.48,48758.953,81029.63,61705.26,74812.8,59642.695,20375.004,58226.562,21426.512,67933.19,20020.02,20677.531,16029.737,
26,966.0007249948899,0.31989276,74391.734,112587.75,104645.65,113477.125,73799.82,118656.28,70575.46,128157.19,108791.77,70575.74,121813.484,69316.38,125322.81,116608.54,68735.984,130618.13,121192.53,119042.84,107142.695,67295.21,139014.3,71127.36,66499.04,78790.01,127232.836,110745.92,71155.48,68167.42,112302.234,68130.92,112537.1,68088.77,139875.81,117461.08,123625.83,121544.78,143078.38,69392.91,114775.2,70923.37,110258.43,122451.4,70965.04,72362.41,65755.01,70596.85,68069.414,67818.62,76688.86,114268.53,169689.4,150010.62,203965.61,144471.92,105049.51,124117.984,132305.16,69279.914,147365.12,75045.56,69896.74,124163.02,115130.445,68773.74,133081.84,123189.92,64768.742,71414.34,143710.73,68151.555,72580.67,112128.336,102337.375,118471.14,143725.73,118626.57,123396.09,138570.94,117893.805,116063.42,111982.945,71541.49,111276.94,72427.484,140431.19,71382.49,70205.21,66804.14,
62,272.9587360674633,0.48521292,11986.549,15548.435,14778.134,13083.337,14823.593,15759.508,13294.218,13628.387,12694.461,12345.704,17543.045,13418.648,17799.027,14138.802,14591.013,15881.174,16797.121,15006.536,16697.793,15476.734,13363.283,13626.365,16148.808,15433.718,19604.883,17391.166,16370.707,15122.012,15525.241,13241.002,13576.474,13159.047,16739.807,12756.966,13388.456,11977.3,16483.383,14406.92,15900.843,15830.78,14255.671,12288.973,14170.114,15536.66,15451.048,13670.209,16463.838,15246.635,11332.326,12941.264,0,0,0,15892.1,12148.141,11996.899,16010.865,16781.562,16553.83,11934.572,12215.73,16484.652,15601.46,15846.222,13227.447,12913.44,17148.477,16552.96,14735.817,15873.892,11074.553,13404.112,15970.838,14071.362,15397.675,16052.031,14638.579,13296.145,17367.432,14521.518,13432.765,14769.71,13438.365,16572.137,15925.178,15957.506,15528.053,14347.605,
65,288.93627541873633,0.4853571,21534.898,23408.621,19900.598,21959.299,23220.846,24397.682,20615.312,19188.736,18564.062,22480.361,27104.604,23475.75,25791.104,21821.305,22972.887,25144.562,22491.947,23031.955,22657.836,21062.676,23319.564,19985.53,24774.791,25256.41,24469.795,24271.91,25110.658,26406.547,22642.746,23169.777,21140.695,21454.275,19811.98,21973.31,25569.527,18028.984,21652.805,23864.885,23477.705,25020.697,22570.582,23022.492,23203.465,24197.564,24826.926,24187.129,29190.578,22960.547,22548.148,26773.361,1950.1293,1953.7124,1723.1404,24614.408,23408.521,18589.973,19691.158,21140.635,22755.543,22384.865,19843.035,26279.584,23585.783,22733.807,18897.188,26573.66,22541.06,28274.885,27660.994,21399.459,19727.297,22512.754,24746.37,24551.475,21269.62,23536.586,24429.018,23774.443,23000.213,23697.61,23396.568,23108.945,27454.258,25463.822,26759.652,20929.322,23574.908,23099.54,
81,158.97843088962452,0.49457386,62201.582,62426.676,67317.234,63567.85,71786.0,63027.363,71067.41,56938.902,63341.137,69306.29,69389.055,75691.54,68067.96,64254.91,63978.64,67446.805,67368.37,66355.68,71919.49,66921.445,72136.016,64212.477,72496.85,71001.41,70031.45,72849.94,68737.164,73591.25,64772.613,70052.46,67422.45,63228.715,65347.844,65010.562,70271.51,53273.09,67845.89,66469.516,62716.266,64925.46,77158.95,63052.484,67906.04,71618.21,69519.76,64955.207,74863.25,68909.555,64620.3,68178.16,6116.3613,7598.0674,6484.215,71944.055,60986.676,71234.62,66724.71,68194.34,70262.375,65997.44,64089.387,70268.18,64041.562,67662.43,58136.3,63963.44,69600.17,70601.66,73551.59,70876.11,61311.34,67593.78,69059.48,66480.99,64558.062,64393.69,70247.45,64335.215,61120.62,62116.324,64964.445,69902.98,69580.82,69852.375,72227.71,70670.625,60153.836,72583.914,
95,226.9658018090442,0.4991829,28760.871,32647.113,31099.303,31327.455,35288.848,30827.879,33027.51,26919.209,30674.22,31363.057,30955.477,32221.773,32579.338,28601.457,29048.615,30862.9,31184.299,29117.83,32387.81,29057.0,33179.48,28782.627,32400.164,32612.695,31120.025,32641.555,32798.133,33156.547,31856.967,31491.39,30153.672,34822.03,33275.027,30069.588,31903.014,26366.16,34362.977,35663.348,30657.816,33570.973,30206.533,31558.887,31387.322,36911.78,37381.406,31709.234,36647.54,29355.545,28134.441,30270.906,2201.7642,2473.4944,1890.8877,32896.9,28312.682,31970.873,30114.725,31201.713,32629.957,28291.467,28614.18,32271.785,33054.33,30161.307,27718.004,30007.629,32999.336,32184.928,33374.324,33041.305,29503.69,31556.57,30716.928,29827.781,30454.006,30452.49,34030.945,35709.33,34679.074,30005.684,32501.715,30438.37,30546.943,31389.713,37024.87,31757.496,30821.578,31305.96,
98,294.9531517904535,0.5001916,22338.564,24824.672,23494.637,24306.754,23222.154,22991.842,25810.738,22856.45,25084.441,23631.648,26589.502,22459.027,23667.342,23057.61,21263.473,28391.973,26259.6,23699.338,25660.766,25261.2,22998.9,23497.533,24974.45,26687.332,29816.844,26628.77,26278.941,26376.059,26057.219,25650.326,23155.682,25057.908,26751.273,24662.959,27904.725,22015.994,26193.361,23496.336,24620.613,23910.648,25969.54,24536.344,20642.057,24320.105,28338.822,26668.35,26957.55,23124.143,22739.762,26607.268,1395.7354,1247.2311,1313.1139,24228.533,23714.555,27668.238,22301.89,26151.756,25784.67,25219.072,25576.424,26070.803,26398.947,26715.709,20991.674,25233.406,29407.037,25156.756,23525.23,23743.066,26103.904,22902.271,27467.014,21977.232,25927.994,23959.2,23029.46,26571.201,27216.19,22527.846,25965.979,24556.168,23759.322,27978.947,26371.746,25828.246,24832.264,24777.715,
104,362.9405804944068,0.5006977,34403.13,34776.027,33148.008,32356.902,38659.38,32014.76,37661.316,34611.01,36797.98,37874.32,38859.59,35263.016,34293.777,32602.85,32736.365,33941.613,34598.945,39015.332,35685.402,34897.688,38181.855,35844.297,34441.164,35871.0,40233.824,38210.01,34738.406,37265.664,33618.938,34599.918,35920.816,35517.96,38046.83,37649.805,34428.684,28545.51,38588.0,33976.492,34780.836,35609.688,35771.754,32204.129,35300.176,34817.57,38013.18,36740.668,38469.23,34275.49,32478.73,31679.785,1751.2843,1413.4355,1605.1913,36670.723,34876.3,34761.754,41779.75,34690.164,38524.695,32078.732,31208.86,35104.273,37291.23,35563.465,32396.955,34311.27,34962.207,35000.06,35581.844,36181.8,34008.004,33946.023,36169.875,36659.883,33645.977,37611.74,37264.938,39354.934,35200.883,34738.266,37837.113,37590.824,36114.312,35626.16,36618.184,35225.5,33823.91,36983.156,
116,585.3425760526653,0.49507925,7308.093,14271.039,8857.546,10794.463,8977.0205,14696.403,7717.8784,10025.202,12649.104,8365.0,15525.044,7917.724,11300.472,15379.148,8306.318,11033.924,8694.042,12601.1,13226.751,9025.107,10627.247,10286.405,11155.866,7922.131,11828.538,12037.057,7596.009,8799.846,18201.02,9452.969,10715.99,11481.416,11250.709,12981.125,18116.639,10519.09,11302.226,8677.088,14171.135,7611.4194,13656.835,18636.592,10559.798,8597.864,12823.076,9037.812,9592.25,9802.39,8147.0693,9025.089,41714.477,36169.67,38464.004,9302.664,13933.195,13019.032,16056.238,8579.475,13010.178,7224.0,8995.295,11889.105,11181.192,13517.377,14711.311,13505.154,9481.119,8641.587,10578.461,7394.486,7419.196,12237.907,13746.996,17451.197,19485.662,12800.788,13184.446,12540.337,11755.936,9115.312,13771.107,8043.5967,10331.845,7963.7085,9073.606,7258.651,9666.476,10763.122,
128,520.90994264116,0.51395553,114667.836,90785.94,102681.2,99480.92,89783.836,92157.87,100041.19,93593.555,98775.37,103987.19,85355.29,102072.38,98758.33,87120.09,102054.65,93675.71,93257.17,95373.02,103195.42,91600.4,93678.73,111405.32,94171.63,93033.63,93135.266,91266.82,93112.19,97015.54,100794.414,98741.0,100205.69,102104.57,98960.01,94114.305,97894.664,110877.95,98605.64,98580.68,91879.84,98982.94,101200.35,102169.93,99159.13,96421.266,99334.29,96311.17,96464.73,107586.516,104754.12,91970.836,1851.5957,1767.7245,3951.1472,98489.52,92457.94,101130.69,88505.18,102977.01,93184.3,94119.07,103368.914,91370.64,93063.92,99878.41,95780.38,102088.49,96401.33,99761.0,91774.734,98253.02,112122.14,100813.62,95804.25,94253.99,93083.26,89245.234,94130.08,99815.17,89655.07,99882.695,95553.336,97887.12,95177.63,97764.57,100044.38,104716.14,98156.94,97135.26,
