mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
117.0557_0.669,58966.64335510086,49783.660954880535,0.8442681848970134,0.0136,-0.24422674576187195,1.8664610916297826,117.0557,0.669,50202.19,117.0557_0.669,117.0557_0.669,1
1235.798_10.088,6536.064605947311,5594.924818906114,0.856008187834491,0.00612,-0.22430349862107885,2.2132485778544386,1235.798,10.088,6087.2046,1235.798_10.088,1235.798_10.088,1
1334.2417_10.855,5675.462777526963,4331.320823733165,0.7631661053057779,0.0262,-0.3899309969102223,1.5816987086802545,1334.2417,10.855,4806.481,1334.2417_10.855,1334.2417_10.855,1
1335.245_10.854,5822.674005337373,3987.7785490013903,0.6848706531304998,0.00537,-0.5460965531029196,2.2700257143004445,1335.245,10.854,4525.4336,1335.245_10.854,1335.245_10.854,1
1491.1091_6.544,3609.4923931859516,4182.242775117501,1.1586789275447138,0.0127,0.2124808477841773,1.8961962790440432,1491.1091,6.544,4031.5254,1491.1091_6.544,1491.1091_6.544,1
1558.1192_8.016,3472.5045653949182,4053.8887191099143,1.1674250221320808,0.0169,0.22332989582635954,1.7721132953863266,1558.1192,8.016,3827.245,1558.1192_8.016,1558.1192_8.016,1
1561.2028_9.038,3438.7260051393405,4386.339353086491,1.275571053503797,0.00403,0.3511432640383713,2.3946949538588904,1561.2028,9.038,3808.103,1561.2028_9.038,1561.2028_9.038,1
1633.1422_7.775,8206.484858524713,6834.049007816517,0.8327620321772067,0.00511,-0.26402380103188794,2.291579099865287,1633.1422,7.775,7743.532,1633.1422_7.775,1633.1422_7.775,1
1637.3241_10.442,3884.33750596999,4625.606646604529,1.1908354100268714,0.00664,0.2519740265127612,2.1778319206319825,1637.3241,10.442,4679.14,1637.3241_10.442,1637.3241_10.442,1
1646.3475_10.439,2804.3267195903163,3300.609596296171,1.1769704197584925,0.0241,0.23507806225911385,1.6179829574251317,1646.3475,10.439,3296.1206,1646.3475_10.439,1646.3475_10.439,1
1664.3521_10.59,9180.142176981182,7490.920237468893,0.8159917453405088,0.00396,-0.29337353707361613,2.402304814074488,1664.3521,10.59,8838.892,1664.3521_10.59,1664.3521_10.59,1
1665.3553_10.589,10814.692143584994,8965.490031275487,0.8290101939326671,0.00445,-0.2705382529423502,2.3516399890190685,1665.3553,10.589,10013.819,1665.3553_10.589,1665.3553_10.589,1
1669.2155_8.46,2485.445767373334,3102.8242309237903,1.2483974792992218,0.0298,0.32007734935615656,1.5257837359237447,1669.2155,8.46,3177.6743,1669.2155_8.46,1669.2155_8.46,1
1670.349_9.987,3095.1545092747165,3583.2508259077918,1.1576969147002132,0.0228,0.21125760488905748,1.6420651529995463,1670.349,9.987,3525.7625,1670.349_9.987,1670.349_9.987,1
1674.3803_10.59,4031.784402839444,3265.6067461807415,0.8099656181716686,0.00814,-0.3040674258357683,2.089375595110799,1674.3803,10.59,3841.819,1674.3803_10.59,1674.3803_10.59,1
1675.384_10.589,4253.966027169531,3145.326420304596,0.7393868216661352,0.00642,-0.4355987647600211,2.192464971931147,1675.384,10.589,4111.413,1675.384_10.589,1675.384_10.589,1
172.9913_0.642,94548.68049051182,48213.31307472412,0.5099311045336317,0.00913,-0.9716257534147527,2.039529222465701,172.9913,0.642,45120.38,172.9913_0.642,172.9913_0.642,1
188.9862_0.644,25367.321225955857,35233.235699695506,1.3889222037226714,0.00757,0.4739657933821338,2.1209041204999273,188.9862,0.644,28410.982,188.9862_0.644,188.9862_0.644,1
201.0226_0.688,4186.508735179065,1410.0049036905054,0.3367973155871599,0.0206,-1.5700474553088428,1.6861327796308465,201.0226,0.688,1658.4958,201.0226_0.688,201.0226_0.688,1
201.0575_0.644,49411.024549284666,42427.551304217784,0.858665686276121,0.0326,-0.2198315544798674,1.486782399932061,201.0575,0.644,47723.55,201.0575_0.644,201.0575_0.644,1
229.0537_0.703,20620.68764966869,32130.16116355977,1.5581517798741304,0.017,0.6398357734549813,1.7695510786217261,229.0537,0.703,12274.038,229.0537_0.703,229.0537_0.703,1
230.9967_0.644,4426.525130396354,6134.2365913111025,1.3857905265663404,0.0103,0.4707091989446443,1.9871627752948278,230.9967,0.644,3285.502,230.9967_0.644,230.9967_0.644,1
352.0856_0.687,4156.000593911292,10714.430276366587,2.57806273946728,0.00126,1.366287373403573,2.899629454882437,352.0856,0.687,7253.043,352.0856_0.687,352.0856_0.687,1
397.3681_5,8918.317859637436,6757.563636052302,0.7577172895614894,0.00162,-0.4002684272654517,2.7904849854573692,397.3681,5,5372.114,397.3681_5,397.3681_5,1
411.3837_5.349,10685.854822751056,8393.78357094982,0.7855041744604998,3.85e-5,-0.3483091523310243,4.414539270491499,411.3837,5.349,6643.776,411.3837_5.349,411.3837_5.349,1
436.2827_3.522,17498.424698923704,21674.026531727057,1.2386272995797265,0.003,0.30874214878979594,2.5228787452803374,436.2827,3.522,17485.225,436.2827_3.522,436.2827_3.522,1
437.0542_0.688,11598.759575307782,10026.222397576727,0.8644219524061195,0.00795,-0.21019238429880896,2.0996328713435295,437.0542,0.688,6556.153,437.0542_0.688,437.0542_0.688,1
