mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1061.6776_3.089,12808.839732929442,10446.70151019741,0.8155853088973111,0.0244,-0.2940923065018128,1.6126101736612706,1061.6776,3.089,10483.335,1061.6776_3.089,1061.6776_3.089,1
1235.798_10.088,6780.132239724279,5787.136523854831,0.8535433114340215,0.0216,-0.22846373295748468,1.665546248849069,1235.798,10.088,6087.2046,1235.798_10.088,1235.798_10.088,1
1279.8241_10.52,10180.804052606629,7803.47299019802,0.7664888696291201,0.00301,-0.3836632525759908,2.5214335044061564,1279.8241,10.52,8510.096,1279.8241_10.52,1279.8241_10.52,1
1334.2417_10.855,7243.682265104724,4208.263271054294,0.5809563585259566,0.00264,-0.7834983025190898,2.5783960731301687,1334.2417,10.855,4806.481,1334.2417_10.855,1334.2417_10.855,1
1335.245_10.854,6390.807260391805,4190.5039842409915,0.655708084049476,7.72e-4,-0.6088744133147382,3.112382699664264,1335.245,10.854,4525.4336,1335.245_10.854,1335.245_10.854,1
1394.0685_5.684,3716.6885126313114,4503.007214101314,1.2115643263614015,0.0135,0.2768710047553475,1.869666231504994,1394.0685,5.684,4331.194,1394.0685_5.684,1394.0685_5.684,1
151.0261_0.612,902.6468042996419,1431.258884555328,1.585624496467179,0.00734,0.6650511561453161,2.1343039400839294,151.0261,0.612,1292.0005,151.0261_0.612,151.0261_0.612,1
1554.1226_7.773,9097.561487624824,7159.460267321665,0.7869647572110936,3.64e-4,-0.3456290661879639,3.438898616350944,1554.1226,7.773,8504.709,1554.1226_7.773,1554.1226_7.773,1
1555.1258_7.773,8716.655893173493,6832.57271764447,0.7838525234196115,5.05e-4,-0.3513458483848267,3.2967086218813386,1555.1258,7.773,8117.045,1555.1258_7.773,1555.1258_7.773,1
1598.1714_7.758,5122.4807166913,4283.7020194433635,0.8362553724185188,0.00831,-0.2579845206888301,2.080398976215889,1598.1714,7.758,4243.513,1598.1714_7.758,1598.1714_7.758,1
1605.0902_6.358,3077.962834353966,2175.2672802560223,0.7067230494069917,0.0157,-0.5007831323643215,1.8041003475907662,1605.0902,6.358,2475.3367,Cluster_1605.0902_6.358,1604.0878_6.358;1605.0902_6.358,2
1616.1136_7.768,4453.788651295747,3871.9860196888703,0.8693690524723009,0.0141,-0.20195935496426684,1.85078088734462,1616.1136,7.768,4210.176,1616.1136_7.768,1616.1136_7.768,1
1632.139_7.776,8686.343603507843,6902.476166690228,0.7946354049248952,0.00469,-0.33163502085267615,2.3288271572849166,1632.139,7.776,7901.5444,1632.139_7.776,1632.139_7.776,1
1633.1422_7.775,8435.285110571527,6762.8032848777975,0.8017278842658572,0.0014,-0.3188154425410364,2.853871964321762,1633.1422,7.775,7743.532,1633.1422_7.775,1633.1422_7.775,1
1637.3241_10.442,4293.638975826221,5190.149580717833,1.208799717428291,0.0348,0.27357522836781933,1.458420756053419,1637.3241,10.442,4679.14,1637.3241_10.442,1637.3241_10.442,1
1646.3475_10.439,3159.4678333179854,4007.9101127019053,1.2685396162090086,0.00151,0.3431685751494368,2.8210230527068307,1646.3475,10.439,3296.1206,1646.3475_10.439,1646.3475_10.439,1
1664.3521_10.59,10319.183902318893,8589.51214309189,0.8323828923294683,0.00495,-0.26468078070919765,2.305394801066431,1664.3521,10.59,8838.892,1664.3521_10.59,1664.3521_10.59,1
1665.3553_10.589,12453.880361138677,9819.48405740117,0.7884678327280286,0.00176,-0.34287619657466917,2.75448733218585,1665.3553,10.589,10013.819,1665.3553_10.589,1665.3553_10.589,1
