mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1061.6776_3.089,12279.101321377515,10090.492587418463,0.8217614891613643,0.0454,-0.2832083729212932,1.342944147142896,1061.6776,3.089,10483.335,1061.6776_3.089,1061.6776_3.089,1
1135.6242_2.73,5598.09468068929,4381.841523513536,0.7827380159590304,0.0161,-0.35339857960879467,1.7931741239681502,1135.6242,2.73,4614.4536,1135.6242_2.73,1135.6242_2.73,1
1279.8241_10.52,10057.907790441323,8432.558890960167,0.8384008947640353,0.0345,-0.2542878383281397,1.4621809049267258,1279.8241,10.52,8510.096,1279.8241_10.52,1279.8241_10.52,1
1334.2417_10.855,5909.159341520851,4218.232958736371,0.7138465414355737,0.0215,-0.4863141294637439,1.6675615400843946,1334.2417,10.855,4806.481,1334.2417_10.855,1334.2417_10.855,1
1335.245_10.854,5596.847207599508,4034.503722941154,0.7208529326051686,0.0289,-0.47222314200016396,1.5391021572434522,1335.245,10.854,4525.4336,1335.245_10.854,1335.245_10.854,1
1554.1226_7.773,8912.900658225684,7404.179951223957,0.8307261838928571,0.00251,-0.2675550670328765,2.600326278518962,1554.1226,7.773,8504.709,1554.1226_7.773,1554.1226_7.773,1
1561.2028_9.038,3023.122781508588,4291.219102173154,1.4194657022933634,0.00105,0.5053479905000888,2.978810700930062,1561.2028,9.038,3808.103,1561.2028_9.038,1561.2028_9.038,1
1579.1408_6.75,4859.491865288604,5591.55680067725,1.15064639589538,0.04,0.20244454826951794,1.3979400086720375,1579.1408,6.75,5832.036,1579.1408_6.75,1579.1408_6.75,1
1616.1136_7.768,4642.767284382803,3997.8479215246034,0.8610916026251069,0.00341,-0.21576137570491574,2.4672456210075024,1616.1136,7.768,4210.176,1616.1136_7.768,1616.1136_7.768,1
1654.1535_8.02,5355.483255452587,6287.638821120935,1.1740562935603038,0.00689,0.23150158433656937,2.1617807780923743,1654.1535,8.02,5751.655,1654.1535_8.02,1654.1535_8.02,1
1666.3553_10.589,9671.790924709156,8248.262155782752,0.852816424588995,0.0441,-0.22969287132485375,1.3555614105321614,1666.3553,10.589,8501.005,1666.3553_10.589,1666.3553_10.589,1
201.0226_0.688,10514.479477108167,1028.424500438188,0.09781031031324426,0.00998,-3.3538696402027126,2.000869458712629,201.0226,0.688,1658.4958,201.0226_0.688,201.0226_0.688,1
213.0223_0.689,6386.309423166021,12469.924211384541,1.952602572958728,1.06e-4,0.9653983371570011,3.9746941347352296,213.0223,0.689,11835.408,213.0223_0.689,213.0223_0.689,1
231.0795_0.662,1231.0827999421174,859.9843885463181,0.6985593402708189,0.041,-0.5175454219466897,1.3872161432802645,231.0795,0.662,1105.3435,231.0795_0.662,231.0795_0.662,1
239.0923_0.975,19680.753892258155,11684.476242021981,0.5937006430743651,0.00156,-0.7521924191065433,2.8068754016455384,239.0923,0.975,12226.621,239.0923_0.975,239.0923_0.975,1
311.2224_2.465,9062.918060484508,5968.480589915654,0.6585605817114246,0.00422,-0.602611933199098,2.374687549038326,311.2224,2.465,6337.748,311.2224_2.465,311.2224_2.465,1
352.0856_0.687,5463.9257617628155,10910.941140116722,1.9969050854374248,0.00344,0.9977657619141098,2.46344155742847,352.0856,0.687,7253.043,352.0856_0.687,352.0856_0.687,1
397.3681_5,8252.850167894343,6599.245556897533,0.799632299465493,0.039,-0.3225913469949698,1.408935392973501,397.3681,5,5372.114,397.3681_5,397.3681_5,1
411.3837_5.349,8912.309087459971,7521.9155999085915,0.8439917787963922,4.17e-4,-0.2446991489731976,3.3798639450262424,411.3837,5.349,6643.776,411.3837_5.349,411.3837_5.349,1
413.1998_0.688,7755.395127857238,6598.876967988335,0.8508756625804003,0.0191,-0.23297976683555635,1.7189666327522726,413.1998,0.688,6773.281,413.1998_0.688,413.1998_0.688,1
441.3942_4.718,6237.483245621917,3671.7276221779166,0.5886553081733884,0.00228,-0.7645049952206566,2.642065152999546,441.3942,4.718,4012.4084,441.3942_4.718,441.3942_4.718,1
462.1763_0.655,2337.2606370221542,6544.725604028475,2.800169352258012,0.00239,1.4855140829825229,2.6216020990518625,462.1763,0.655,3573.565,462.1763_0.655,462.1763_0.655,1
478.2933_3.354,38068.7268929049,26791.26381797864,0.7037604355235711,0.00488,-0.506843684917965,2.3115801779972895,478.2933,3.354,31117.049,478.2933_3.354,478.2933_3.354,1
506.3245_3.232,16622.940793957445,13728.433442743806,0.8258727269084775,0.0184,-0.276008626082306,1.7351821769904636,506.3245,3.232,12757.774,506.3245_3.232,506.3245_3.232,1
507.223_1.7,17305.145537124245,63873.69310010436,3.6910231678247327,3.65e-5,1.8840207931242834,4.437707135543525,507.223,1.7,41604.465,507.223_1.7,507.223_1.7,1
507.223_2.273,5231.542882444207,13237.24513169343,2.5302755667194132,2.25e-4,1.3392945142042194,3.6478174818886377,507.223,2.273,8533.24,507.223_2.273,507.223_2.273,1
539.4309_4.416,22013.93555505246,18310.307844169114,0.83175985495091,0.0193,-0.2657610401758811,1.7144426909922261,539.4309,4.416,17587.09,539.4309_4.416,539.4309_4.416,1
551.3582_4.841,14296.580455255304,32840.92840645167,2.2971177275038253,1.48e-4,1.199824796869771,3.8297382846050425,551.3582,4.841,18963.234,551.3582_4.841,551.3582_4.841,1
557.4566_6.309,13330.191772586506,10461.770173004636,0.7848176794064756,4.29e-4,-0.3495705537064055,3.3675427078152755,557.4566,6.309,9207.197,557.4566_6.309,557.4566_6.309,1
557.457_6.865,8364.963007279015,5302.304857054221,0.6338706880640437,9.89e-5,-0.6577395395647351,4.004803708402821,557.457,6.865,4422.7666,557.457_6.865,557.457_6.865,1
558.3148_3.234,12652.596742948052,10476.673533511113,0.8280255623692667,0.0198,-0.27225278835343975,1.7033348097384688,558.3148,3.234,11477.886,558.3148_3.234,558.3148_3.234,1
559.4719_6.867,9579.84758693159,6863.714435787913,0.7164742834897596,8.94e-4,-0.48101317232265167,3.048662481204082,559.4719,6.867,5295.815,559.4719_6.867,559.4719_6.867,1
566.3462_3.232,462154.2915679619,375323.34922479565,0.812116983597463,0.00351,-0.30024053558066005,2.4546928835341757,566.3462,3.232,418799.75,Cluster_566.3462_3.232,1087.6933_3.233;556.3168_3.233;566.3462_3.232,3
567.4621_4.643,6449.858691171279,4350.847579575789,0.6745647909358592,0.00135,-0.5679710763650913,2.869666231504994,567.4621,4.643,4465.4155,567.4621_4.643,567.4621_4.643,1
573.4515_4.266,11132.036129941318,8920.383069468495,0.8013253788743783,0.00255,-0.31953992569798817,2.593459819566045,573.4515,4.266,8939.533,573.4515_4.266,573.4515_4.266,1
573.4515_4.873,8992.059469781903,5171.176820312374,0.5750825867745064,4.35e-4,-0.7981589406141546,3.3615107430453626,573.4515,4.873,5242.9346,573.4515_4.873,573.4515_4.873,1
575.4672_5.354,6159.676623082749,3423.28523114822,0.5557572971152113,9.37e-5,-0.8474731088679994,4.028260409112222,575.4672,5.354,3552.854,575.4672_5.354,575.4672_5.354,1
575.467_4.662,4540.607702394452,2779.8854243152236,0.612227615006087,0.00121,-0.7078599746650348,2.91721462968355,575.467,4.662,3037.523,575.467_4.662,575.467_4.662,1
577.3738_4.918,8387.95279362198,15839.848892142276,1.8884046300530635,5.51e-4,0.9171679253063998,3.258848401148215,577.3738,4.918,11294.565,577.3738_4.918,577.3738_4.918,1
579.3893_5.557,9074.158547741787,16915.29821735957,1.8641175518769335,8.69e-4,0.8984928396931257,3.0609802235513337,579.3893,5.557,10819.189,579.3893_5.557,579.3893_5.557,1
586.3143_2.221,13339.929807126244,9957.439421566854,0.7464386668847051,0.0423,-0.42190437252684976,1.3736596326249577,586.3143,2.221,11496.424,586.3143_2.221,586.3143_2.221,1
591.3894_5.174,15689.701463364421,19906.670791130193,1.2687730762508407,0.0436,0.34343406205339494,1.360513510731414,591.3894,5.174,15443.811,591.3894_5.174,591.3894_5.174,1
591.462_4.314,12033.223820801968,5779.389615144137,0.4802860564392762,4.05e-4,-1.058034169713893,3.3925449767853313,591.462,4.314,5867.574,591.462_4.314,591.462_4.314,1
591.462_4.651,8379.009332666104,5137.224520520498,0.6131064325817969,5.9e-4,-0.7057905537129131,3.2291479883578558,591.462,4.651,6086.664,591.462_4.651,591.462_4.651,1
593.4778_4.664,49130.04441194134,25726.52714333769,0.5236414387829194,3.54e-5,-0.9333488242637822,4.450996737974212,593.4778,4.664,28170.127,593.4778_4.664,593.4778_4.664,1
594.3768_3.858,11060.660184065371,9138.558899157628,0.8262218300787476,0.0299,-0.2753989159202895,1.5243288116755704,594.3768,3.858,9366.142,594.3768_3.858,594.3768_3.858,1
595.4933_4.953,35815.18882345417,21324.760507205545,0.5954110869643293,2.59e-6,-0.7480420090864628,5.586700235918748,595.4933,4.953,21889.58,Cluster_595.4933_4.953,595.4933_4.953;617.4753_4.956,2
624.3379_0.689,5524.61809209809,8808.917673549293,1.5944844560656177,0.00283,0.6730900334532309,2.54821356447571,624.3379,0.689,5379.354,624.3379_0.689,624.3379_0.689,1
624.3382_0.91,1481.6150409788831,2206.731020816278,1.4894091648518366,0.0195,0.5747401400937665,1.709965388637482,624.3382,0.91,1677.8027,624.3382_0.91,624.3382_0.91,1
634.3329_3.232,28630.87824504026,24184.905546037604,0.8447140649702971,0.00138,-0.24346502196571976,2.8601209135987635,634.3329,3.232,27316.904,634.3329_3.232,634.3329_3.232,1
652.5879_10.611,13606.606397428679,11249.593437183652,0.8267743703756695,0.0487,-0.2744344283119928,1.3124710387853658,652.5879,10.611,10016.329,652.5879_10.611,652.5879_10.611,1
653.491_10.071,5307.648986954534,6885.319776673618,1.2972447487761118,0.0295,0.37545069588437363,1.530177984021837,653.491,10.071,5653.746,653.491_10.071,653.491_10.071,1
676.6243_10.731,5141.408981276703,7054.161375481089,1.3720288351247667,4.04e-4,0.4563108021042798,3.393618634889395,676.6243,10.731,5050.361,676.6243_10.731,676.6243_10.731,1
680.5744_10.545,33760.275003301525,39027.919003676834,1.1560308380148019,0.0176,0.20917988335556384,1.75448733218585,680.5744,10.545,34248.97,680.5744_10.545,680.5744_10.545,1
684.6065_10.853,385712.0622783055,327154.7269909624,0.8481838111531711,0.0192,-0.23755114766620058,1.7166987712964503,684.6065,10.853,363802.88,Cluster_684.6065_10.853,684.6065_10.853;686.6054_10.854;694.635_10.854,3
690.603_10.546,17469.918873761228,20315.64326247542,1.162892822186387,0.0153,0.21771813720196337,1.8153085691824011,690.603,10.546,17549.324,690.603_10.546,690.603_10.546,1
696.3033_3.233,11459.071640795459,9691.537919653136,0.8457524504123246,0.00974,-0.24169264291824655,2.0114410431213843,696.3033,3.233,10370.666,696.3033_3.233,696.3033_3.233,1
696.6064_10.749,17498.033380072044,22093.449936012596,1.2626247450855892,0.00145,0.33642593061749954,2.838631997765025,696.6064,10.749,16448.336,Cluster_696.6064_10.749,696.6064_10.749;706.6345_10.754,2
720.4962_7.178,7666.894755531119,5534.966634451719,0.7219306917521771,0.0482,-0.4700677556489135,1.3169529617611504,720.4962,7.178,5865.815,720.4962_7.178,720.4962_7.178,1
736.5275_8.432,5361.1775041277215,6428.424342865843,1.199069483880438,0.00996,0.261915262709763,2.001740661576301,736.5275,8.432,6182.947,736.5275_8.432,736.5275_8.432,1
746.5966_10.853,10092.591466014857,8724.19792061496,0.864416037247942,0.0279,-0.2102022565591594,1.5543957967264024,746.5966,10.853,9415.05,746.5966_10.853,746.5966_10.853,1
750.5436_9.042,112854.741860604,134411.7098464399,1.191015172516744,0.0335,0.2521917920225459,1.4749551929631548,750.5436,9.042,132781.84,Cluster_750.5436_9.042,750.5436_9.042;818.5306_9.045,2
759.5646_6.287,8078.645593489965,9512.056804928563,1.1774321196357083,0.00637,0.2356438891477885,2.1958605676646497,759.5646,6.287,8385.86,759.5646_6.287,759.5646_6.287,1
776.5438_6.762,82028.23870633396,67753.12661126233,0.8259731975207052,0.0472,-0.2758331273241577,1.3260580013659122,776.5438,6.762,70307.484,Cluster_776.5438_6.762,766.5148_6.768;776.5438_6.762;844.5327_6.766,3
780.4705_7.867,6040.25238934347,7022.375288784779,1.1625963347448893,0.0371,0.21735026538232724,1.4306260903849541,780.4705,7.867,6633.9,780.4705_7.867,780.4705_7.867,1
786.5646_7.575,67288.98534368452,78940.94443268147,1.1731629482817065,0.0216,0.2304034126426009,1.665546248849069,786.5646,7.575,72991.32,786.5646_7.575,786.5646_7.575,1
789.6114_7.911,4564.207829740416,5512.540147965344,1.2077758843595128,0.0146,0.27235277211335013,1.8356471442155629,789.6114,7.911,4557.0386,789.6114_7.911,789.6114_7.911,1
790.5593_7.252,26497.695277628216,22615.29071871559,0.8534814247716666,0.0357,-0.2285683402066031,1.4473317838878068,790.5593,7.252,23582.47,790.5593_7.252,790.5593_7.252,1
800.5357_7.469,15842.072416657478,21055.85663231182,1.3291099850151045,0.0136,0.4104604938318763,1.8664610916297826,800.5357,7.469,16663.395,Cluster_800.5357_7.469,800.5354_7.468;800.5357_7.469,2
810.5642_6.968,3387.709133856155,2396.129883613419,0.707300948498479,0.0154,-0.49960389891272955,1.812479279163537,810.5642,6.968,2812.582,810.5642_6.968,810.5642_6.968,1
810.5647_7.467,101795.59171644278,128038.617720751,1.257801202997175,8.47e-5,0.3309039205369625,4.072116589669293,810.5647,7.467,117495.53,Cluster_810.5647_7.467,810.5647_7.467;878.5516_7.469,2
812.58_7.898,12428.623648637722,14423.180164790281,1.1604808844920795,0.0127,0.2147227587223681,1.8961962790440432,812.58,7.898,13406.266,812.58_7.898,812.58_7.898,1
818.6271_10.414,39358.36692433885,33237.46597209281,0.8444828525529872,0.0235,-0.24385996586653774,1.6289321377282637,818.6271,10.414,33471.445,818.6271_10.414,818.6271_10.414,1
820.4801_7.866,5871.122672244471,7536.6736730931925,1.2836852666565044,0.013,0.360291526531134,1.8860566476931633,820.4801,7.866,6354.3345,820.4801_7.866,820.4801_7.866,1
822.5774_8.941,37532.555264190596,30750.283059018224,0.8192962840544122,0.00811,-0.2875428234395834,2.090979145788844,822.5774,8.941,34867.887,822.5774_8.941,822.5774_8.941,1
824.5771_8.938,14816.570884684996,12270.814227416235,0.8281817920568816,0.013,-0.2719806101196845,1.8860566476931633,824.5771,8.938,14680.111,824.5771_8.938,824.5771_8.938,1
824.5789_7.841,4829.246407526262,6396.91963597099,1.3246206749776834,1.83e-4,0.4055792814284575,3.7375489102695707,824.5789,7.841,4966.6035,824.5789_7.841,824.5789_7.841,1
827.6272_7.905,16443.973276874505,20537.955842460644,1.248965532639462,4.69e-5,0.32073366383438084,4.328827157284917,827.6272,7.905,17602.617,827.6272_7.905,827.6272_7.905,1
