mz_rt,beta,red,FC_beta_div_red,p,log2_FC_beta_div_red,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
244.908_0.706,27275.371820723256,36257.25766790856,0.7522734364122853,0.0478,-0.4106709467430545,1.320572103387881,244.908,0.706,27725.105,Cluster_244.908_0.706,244.908_0.706;246.9051_0.707,2
473.3629_4.632,5454.843659856948,7563.573749860366,0.7211992426143332,0.0256,-0.4715302131990812,1.5917600346881504,473.3629,4.632,6344.6377,473.3629_4.632,473.3629_4.632,1
557.4566_6.309,7068.1483027492895,10461.770173004636,0.6756168588933269,0.00922,-0.5657227662472724,2.0352690789463708,557.4566,6.309,9207.197,557.4566_6.309,557.4566_6.309,1
559.4719_6.867,4749.434254355994,6863.714435787913,0.6919626827118701,0.0289,-0.5312338589302982,1.5391021572434522,559.4719,6.867,5295.815,559.4719_6.867,559.4719_6.867,1
591.462_4.314,4493.634637016754,5779.389615144137,0.7775275481067707,0.0242,-0.36303430348598525,1.6161846340195687,591.462,4.314,5867.574,591.462_4.314,591.462_4.314,1
711.5035_5.685,9259.009341021367,10738.5997956772,0.8622175625493149,0.0497,-0.21387614574981217,1.3036436112666678,711.5035,5.685,9561.429,711.5035_5.685,711.5035_5.685,1
797.5117_5.847,15102.455469353223,17376.79198307915,0.8691164332322912,0.039,-0.20237863085740163,1.408935392973501,797.5117,5.847,15870.502,797.5117_5.847,797.5117_5.847,1
840.6112_8.445,8061.574046802202,9515.998232830738,0.8471601033919186,0.00862,-0.23929344700417926,2.0644927341752872,840.6112,8.445,8477.622,840.6112_8.445,840.6112_8.445,1
849.4911_5.685,5740.862811463874,6659.782216189458,0.8620196014080226,0.0314,-0.21420741985067954,1.5030703519267852,849.4911,5.685,6204.5273,849.4911_5.685,849.4911_5.685,1
853.619_10.659,4216.175046092512,5037.454562703519,0.8369653747963061,0.047,-0.25676015507821115,1.3279021420642825,853.619,10.659,4023.726,853.619_10.659,853.619_10.659,1
860.6369_10.19,4570.406882101779,5616.107684830114,0.8138032848706022,0.0442,-0.29724799110763467,1.3545777306509081,860.6369,10.19,4901.925,860.6369_10.19,860.6369_10.19,1
