row ID,row m/z,row retention time,5109-b1-beta_c18pos_65.mzML Peak height,5101-b1-control_c18pos_82.mzML Peak height,5109-b3-beta_c18pos_81.mzML Peak height,5103-b3-lyc_c18pos_63.mzML Peak height,5108-b1-control_c18pos_71.mzML Peak height,5113-b1-beta_c18pos_53.mzML Peak height,5112-b3-beta_c18pos_56.mzML Peak height,5105-b1-lyc_c18pos_76.mzML Peak height,5110-b3-lyc_c18pos_84.mzML Peak height,5110-b1-lyc_c18pos_59.mzML Peak height,5101-b3-control_c18pos_66.mzML Peak height,5113-b3-beta_c18pos_47.mzML Peak height,5103-b1-lyc_c18pos_35.mzML Peak height,5104-b3-lyc_c18pos_32.mzML Peak height,5112-b1-beta_c18pos_34.mzML Peak height,5107-b3-beta_c18pos_28.mzML Peak height,5107-b1-beta_c18pos_29.mzML Peak height,5102-b3-control_c18pos_33.mzML Peak height,5111-b3-control_c18pos_39.mzML Peak height,5105-b3-lyc_c18pos_21.mzML Peak height,5108-b3-control_c18pos_22.mzML Peak height,5102-b1-control_c18pos_5.mzML Peak height,5111-b1-control_c18pos_4.mzML Peak height,5104-b1-lyc_c18pos_10.mzML Peak height,5115-b3-lyc_c18pos_70.mzML Peak height,5115-b1-lyc_c18pos_36.mzML Peak height,5125-b1-control_c18pos_80.mzML Peak height,5118-b1-lyc_c18pos_57.mzML Peak height,5121-b1-beta_c18pos_69.mzML Peak height,5119-b1-control_c18pos_74.mzML Peak height,5122-b3-lyc_c18pos_75.mzML Peak height,5117-b1-lyc_c18pos_46.mzML Peak height,5114-b3-beta_c18pos_23.mzML Peak height,5124-b3-control_c18pos_68.mzML Peak height,5125-b3-control_c18pos_51.mzML Peak height,5114-b1-beta_c18pos_26.mzML Peak height,5120-b1-beta_c18pos_72.mzML Peak height,5119-b3-control_c18pos_58.mzML Peak height,5121-b3-beta_c18pos_48.mzML Peak height,5116-b3-control_c18pos_20.mzML Peak height,5126-b1-beta_c18pos_62.mzML Peak height,5123-b3-control_c18pos_40.mzML Peak height,5116-b1-control_c18pos_6.mzML Peak height,5124-b1-control_c18pos_45.mzML Peak height,5117-b3-lyc_c18pos_2.mzML Peak height,5122-b1-lyc_c18pos_14.mzML Peak height,5118-b3-lyc_c18pos_9.mzML Peak height,5123-b1-control_c18pos_11.mzML Peak height,5120-b3-beta_c18pos_54.mzML Peak height,5127-b3-control_c18pos_83.mzML Peak height,5129-b1-lyc_c18pos_78.mzML Peak height,5128-b3-lyc_c18pos_60.mzML Peak height,5134-b3-beta_c18pos_64.mzML Peak height,5136-b3-beta_c18pos_77.mzML Peak height,5127-b1-control_c18pos_30.mzML Peak height,PB1_c18pos_2.mzML Peak height,5132-b3-beta_c18pos_52.mzML Peak height,5130-b3-lyc_c18pos_50.mzML Peak height,5131-b1-beta_c18pos_38.mzML Peak height,5126-b3-beta_c18pos_24.mzML Peak height,5129-b3-lyc_c18pos_16.mzML Peak height,5134-b1-beta_c18pos_42.mzML Peak height,5132-b1-beta_c18pos_41.mzML Peak height,5133-b1-control_c18pos_27.mzML Peak height,5136-b1-beta_c18pos_44.mzML Peak height,5130-b1-lyc_c18pos_17.mzML Peak height,5128-b1-lyc_c18pos_8.mzML Peak height,5135-b3-lyc_c18pos_18.mzML Peak height,5133-b3-control_c18pos_15.mzML Peak height,5131-b3-beta_c18pos_3.mzML Peak height,5135-b1-lyc_c18pos_12.mzML Peak height,QC3_c18pos_13.mzML Peak height,QC2_c18pos_7.mzML Peak height,PB3_c18pos_4.mzML Peak height,PB2_c18pos_3.mzML Peak height,QC11_c18pos_61.mzML Peak height,QC14_c18pos_79.mzML Peak height,QC9_c18pos_49.mzML Peak height,QC10_c18pos_55.mzML Peak height,QC6_c18pos_31.mzML Peak height,QC8_c18pos_43.mzML Peak height,QC5_c18pos_25.mzML Peak height,QC15_c18pos_85.mzML Peak height,QC13_c18pos_73.mzML Peak height,QC7_c18pos_37.mzML Peak height,QC12_c18pos_67.mzML Peak height,QC4_c18pos_19.mzML Peak height,QC1_c18pos_1.mzML Peak height,
3,604.385859407481,0.047991466,880429.5,646782.44,621113.1,885558.7,687798.75,1014996.9,994913.1,728560.0,665788.5,922212.8,836737.4,1162416.2,1420146.9,1592363.2,1508290.1,1717489.8,1671759.4,1442437.1,1311515.1,1729211.8,2085372.9,2752360.2,2896620.8,2502585.5,816466.9,1425367.8,683539.8,979999.44,801364.06,772342.7,736487.94,1183366.0,1985674.8,824237.94,1048362.2,1833023.8,786661.06,902233.5,1155275.1,1979440.8,877073.7,1328218.0,2849153.5,1199814.1,3005051.5,2300918.0,2566199.8,2075581.9,1011755.1,630229.75,708443.6,929835.4,869231.44,739785.1,1725675.9,1280037.1,990110.9,1123354.6,1205025.9,1928206.2,2306305.2,1296164.0,1043697.0,1817314.9,1162847.6,2219809.5,2769420.8,2075094.1,2275301.8,2934890.8,2266352.5,2427006.0,2723745.8,3594136.8,3675968.2,759020.7,700071.9,1161498.4,1009660.25,1453208.6,1274606.9,1900473.6,613594.25,770049.6,1417878.9,797138.44,2100896.2,2819573.8,
10,674.4625445468185,0.07816858,107051.016,81762.17,83447.086,111115.47,87533.04,121597.836,121239.63,91924.89,87066.0,111146.055,102689.43,125520.49,147215.03,156669.11,150354.17,165082.39,159637.67,149550.86,133199.67,166566.36,180674.53,225250.69,237262.17,209556.11,102960.86,145723.3,85630.96,114692.25,98777.63,94815.85,93305.36,130137.24,183613.23,100236.36,121194.47,176973.38,94758.53,113402.81,122931.484,177875.58,110684.664,133294.44,223076.05,131161.7,242881.62,197584.64,216893.88,187808.05,119977.91,83860.97,87527.74,117611.555,105869.26,91599.266,162443.11,189866.53,121621.88,125394.43,130653.81,179578.92,206415.58,143388.02,119267.75,168088.9,126056.164,194807.78,222191.44,191842.19,196619.56,237315.55,192697.02,207171.78,218505.45,293877.3,307901.3,94561.46,88132.54,124968.3,117054.414,151366.89,133276.2,168543.56,79899.94,94295.586,148950.94,101388.34,192721.61,230084.48,
11,688.4778029511532,0.0786733,37473.996,29011.67,28246.701,35988.773,27974.742,40902.82,39363.855,30365.115,26608.82,38401.49,34029.66,43432.582,50286.625,50426.66,51338.07,54641.61,53386.004,49662.164,44876.035,54745.664,58802.027,77214.03,82123.93,67970.98,31963.947,48872.38,30118.262,43578.37,33415.004,30976.107,31904.756,44457.855,57201.004,37727.754,39290.742,56557.184,32299.553,36305.043,42544.633,60362.13,34844.484,47103.816,80225.48,44495.727,84894.81,66718.73,71869.39,63694.824,37660.594,26583.62,28688.08,36602.168,36653.734,30040.44,52321.383,80061.86,39818.203,42315.46,43294.965,57535.375,66250.79,44613.062,38637.35,59842.016,44423.61,62848.24,74581.1,63492.47,66800.12,84201.836,62959.34,67789.6,79801.734,104154.39,111361.84,32554.268,29257.316,44579.715,39064.082,47941.52,46624.312,56816.727,28329.256,30336.896,51904.12,32166.375,64283.113,80427.71,
13,610.3430411770339,0.07722198,67825.98,53089.867,48882.125,71989.81,51942.016,79873.82,79703.43,56576.773,50234.86,78220.55,65050.324,89967.24,101815.13,107258.1,107127.65,116515.695,115095.82,106692.11,100636.14,118138.68,126576.99,155417.5,168055.39,147236.45,70484.56,103883.57,54211.28,78978.3,63854.812,62861.78,60747.89,90102.73,122072.32,65484.875,82053.125,118797.2,60613.547,68904.9,88977.71,123372.84,69956.734,92613.0,159179.69,92245.414,168288.78,142038.16,146003.23,125660.03,83039.52,50632.613,58436.953,71449.02,65776.195,55941.668,115407.414,78958.38,76772.98,86670.89,92362.05,118298.34,137525.62,96783.02,79311.36,119650.81,87643.46,129187.29,156551.81,131673.39,134636.27,164962.33,135942.28,146575.42,162284.2,171564.7,172721.55,56961.266,57043.684,89357.43,79496.14,106828.555,93759.21,123561.8,50409.99,60039.64,103027.99,60558.92,127903.8,152599.05,
15,609.3399819487018,0.07741079,178286.75,134950.77,128492.42,179561.8,140842.77,208100.45,204621.08,144995.03,130634.22,184239.0,168064.72,217636.61,252853.25,263244.5,254520.28,286494.2,277591.0,245916.38,231758.48,286509.7,314297.94,384891.0,409292.56,364925.03,168219.34,252569.75,148767.17,189932.38,163331.94,158937.5,153837.75,215963.12,318313.5,164867.94,205763.8,297892.47,164200.89,183224.45,211401.27,306803.03,181268.3,226175.86,424244.94,223448.36,431067.62,348292.56,367122.8,326522.1,197045.27,131846.16,142316.38,182610.02,176879.05,147572.89,273591.22,192612.89,194810.4,213846.16,220716.27,306201.22,347897.7,232368.83,197077.9,296383.94,216269.45,332241.75,404737.62,326724.88,349657.0,414367.78,346111.38,359805.84,405189.34,434549.84,429649.9,153010.4,146962.45,213308.5,196176.27,257734.05,234862.11,305417.4,133163.75,155029.2,248280.19,164832.03,318829.1,384212.72,
23,611.3457161423772,0.093509845,17412.71,14323.228,12774.0205,17107.646,14982.362,20413.047,18880.998,15092.336,13305.362,18261.688,16734.795,22058.51,24732.824,26358.229,25024.986,27429.004,28243.006,26717.527,21892.855,28190.152,29632.564,38737.066,38554.41,33694.605,17161.959,25093.875,14892.366,19212.945,18054.44,17780.283,16085.543,20952.639,30444.592,15860.812,19805.55,28829.92,16874.736,19898.504,20979.031,31067.172,17530.316,23158.244,38406.535,23193.488,40562.855,33518.348,38988.582,30951.13,21320.816,13723.777,14378.495,18264.35,18522.69,15245.141,28159.98,19797.125,19850.766,21248.342,20851.58,29557.26,35863.37,24586.865,19057.373,32151.438,22288.44,32510.037,39827.902,31815.775,32247.252,39839.477,32611.684,38386.555,38525.246,42939.016,41908.562,13875.456,14789.591,21283.691,19046.383,25194.354,21903.889,31425.336,13240.901,14966.791,24637.92,17221.498,32194.855,40366.92,
38,607.3235533009276,0.2034202,10458.059,8055.5415,8474.653,10551.899,9490.8,11344.051,11325.031,7928.0654,8668.264,10887.509,10036.597,12600.32,15400.94,16584.492,14688.028,17057.555,17400.66,14802.636,14437.3955,18816.145,20553.004,25876.021,28396.654,24881.736,9570.5625,15932.047,8580.198,11749.091,9740.055,8809.005,8738.139,14270.1875,18932.998,9506.268,11736.965,17627.025,9468.726,12138.733,12530.866,20650.959,10684.788,14015.787,24868.99,13865.834,27699.312,23666.072,24789.707,22451.424,11892.506,7155.3296,8769.152,12597.192,10008.754,9004.485,18574.203,20198.555,12184.52,12723.739,14504.242,19127.82,20676.588,12996.999,15387.788,16808.625,14475.879,22194.873,24929.1,19988.67,21427.88,25831.451,22448.572,20845.281,24319.254,28312.113,30532.076,10470.983,8139.5146,13389.785,12518.004,18357.645,13045.893,18314.838,7447.2188,9425.99,15599.151,9957.166,19151.105,26158.775,
47,603.3717107497755,0.21522574,11221.182,8492.296,8515.594,11130.406,9368.125,12211.588,12412.491,8906.133,8994.5205,11291.523,10842.878,13778.014,17407.572,18427.969,17544.414,19721.803,18991.193,17364.428,16017.349,21699.22,20677.537,28085.814,30222.959,26230.416,9713.72,15958.699,8477.8545,11897.799,10027.4,9242.518,8779.951,13808.751,20271.32,9684.304,13251.52,20300.172,8970.089,12816.291,14891.222,21875.982,11087.906,15182.717,29515.4,14386.627,29498.78,24135.635,28366.992,25820.016,11992.646,7702.156,8925.673,13269.688,10646.122,8528.832,17023.65,22647.412,14444.069,12673.487,16081.316,20143.514,23107.451,17839.105,14060.113,21497.77,14102.653,22433.732,27871.104,22339.807,23927.9,30723.416,25606.428,24840.121,30211.75,38731.844,41132.215,10440.559,8778.615,13589.5,12048.799,17794.781,15436.231,20786.078,7954.9263,9363.317,16268.512,11021.381,23721.924,30266.78,
48,602.3682979739656,0.21996006,24287.264,18892.111,19716.938,25831.01,23229.205,28291.28,27895.922,21341.19,18454.453,27859.523,24629.748,31307.344,37965.934,42435.68,38490.707,45299.16,43881.895,39864.37,36672.816,51220.84,47816.938,69284.46,75019.336,60116.902,23421.125,39276.64,20407.166,27226.744,24631.672,21341.436,20291.055,31399.375,48038.13,23368.164,29579.465,45503.74,22899.285,27963.047,32247.908,51283.797,26715.04,35886.18,64750.02,33126.65,76900.39,55040.777,63001.645,61619.27,28904.002,17875.113,19202.355,26219.398,24296.203,20577.55,40529.15,51141.812,29496.523,31174.107,36753.004,47690.445,53334.934,35081.062,34852.414,42628.684,34129.73,52809.34,64269.074,52322.62,57475.78,72090.03,60532.88,57846.01,65065.85,94501.555,95726.914,25474.6,20670.686,32466.408,28517.615,41792.926,33065.727,46346.133,20275.793,22936.11,37017.785,24201.125,52449.816,79782.73,
49,585.3416647498539,0.21882367,4057.1975,3277.5117,4151.0576,4083.3315,3935.1616,4893.7534,4603.004,3589.4297,3827.168,4403.2544,3504.4092,5008.7207,5949.761,7058.5103,6671.9316,7554.5835,6902.9116,6248.4937,5716.7646,7280.996,7226.522,11081.152,10799.774,8882.684,4007.5435,5822.6523,3848.453,4958.9727,4368.5957,3197.6428,3406.0417,5287.812,7491.0303,4366.509,4550.838,6428.324,3825.8193,4356.6597,4802.506,7098.0083,5290.9067,5538.471,10193.913,5737.805,14003.237,9006.003,10672.014,9091.908,4818.903,2768.0723,3481.6694,4290.0728,4568.3794,3258.8027,5795.575,7490.6987,5046.203,4396.546,5561.4155,7683.844,8349.516,5538.642,5104.8545,6480.139,5040.417,8493.713,9740.695,8047.862,7993.6,10859.106,8536.751,8841.19,10746.754,13773.397,13133.608,4362.657,3716.5186,4468.048,4561.3857,6189.9062,4699.9014,6604.214,3423.5881,3746.153,5771.0117,4014.4116,8022.132,12719.213,
50,88.11230737504174,0.26850903,1280837.4,1225597.1,1214948.6,1267740.9,1253268.4,1258306.8,1267478.8,1250110.8,1214825.0,1261951.9,1262637.8,1279484.8,1296001.1,1283285.9,1292946.5,1275947.5,1288361.5,1275497.8,1276421.6,1300121.8,1295650.6,1371000.6,1397352.2,1388218.9,1257271.0,1276053.9,1212634.1,1261722.6,1252649.8,1254168.8,1252175.5,1262465.2,1298777.4,1263211.8,1259254.8,1284370.6,1245995.1,1256827.0,1265923.2,1332697.4,1281458.4,1279244.0,1404887.5,1271136.9,1349233.1,1337666.0,1375545.9,1387622.6,1261485.0,1226699.0,1249619.1,1250904.6,1246882.5,1233441.0,1284713.2,1383310.6,1264203.5,1254044.9,1265921.0,1304255.4,1336501.5,1259455.0,1269768.8,1292008.1,1262868.5,1325765.1,1370103.6,1326151.5,1315402.9,1339659.0,1350427.2,1349007.2,1357674.6,1392050.5,1400427.6,1273008.6,1224026.0,1278612.6,1283336.2,1264581.9,1270485.0,1290147.1,1219803.8,1236112.5,1278365.9,1270746.9,1313166.2,1362559.9,
54,686.4618010241325,0.23763615,2514.02,2451.093,2444.5005,2766.6233,2269.8506,3617.2397,2803.0942,2369.9531,2857.0835,2974.799,2805.9973,4582.361,3546.4524,3740.4077,3899.4595,3762.6174,3833.8074,3747.939,4115.546,4943.2856,4234.7397,5394.622,5381.355,5099.4053,2268.082,4052.7996,2374.125,3049.0747,2818.4583,2448.5928,2121.0535,3428.7295,5009.011,2352.2678,3190.009,3810.3694,3097.774,3286.4565,3365.0652,5000.664,2775.3408,3328.0176,5041.8696,3543.5537,6600.4585,5361.4766,4965.9766,4780.3594,2685.1826,2403.0605,2603.002,2787.3354,2418.0166,2491.333,3438.553,6269.96,3089.0332,3208.2463,3396.4697,4416.0747,4542.9165,4013.3245,3295.523,4058.5208,4152.07,4363.161,4830.461,4157.0195,5739.45,5828.7812,4948.399,4330.5747,4582.9175,7547.7363,7924.8433,3507.0298,2196.309,3157.3228,2751.9556,3465.0854,3868.2822,4994.2236,2148.3655,2294.301,3333.257,2933.4553,4297.164,5082.237,
55,102.12821271761867,0.2839749,2159980.5,2144698.0,2191983.2,2187609.5,2198892.8,2177227.0,2190927.0,2156858.8,2169519.5,2190802.0,2187803.0,2169186.0,2213160.5,2213192.0,2197680.8,2197179.0,2236653.5,2199322.8,2188186.0,2250418.5,2240708.0,2331150.0,2349135.5,2341811.5,2185141.0,2200320.5,2137469.5,2172637.0,2202979.2,2160622.0,2209332.0,2191875.2,2230215.5,2167316.0,2165500.0,2226090.0,2191392.5,2172772.5,2164847.0,2277282.0,2160982.8,2173352.8,2370613.0,2181385.8,2328059.8,2276868.0,2327324.2,2345754.5,2169198.2,2213740.8,2171062.5,2190180.5,2142363.2,2113385.0,2192827.2,3048679.2,2163065.5,2168006.8,2214855.2,2236356.0,2266619.0,2190460.0,2204536.5,2225475.2,2186367.8,2291135.2,2337873.5,2292580.5,2292502.2,2326357.5,2313684.0,2293402.5,2343103.0,2438127.8,2431675.0,2175847.8,2198706.0,2175090.2,2188094.0,2250338.2,2186630.5,2236033.8,2183204.2,2210460.5,2204762.5,2162990.8,2273329.5,2368801.2,
56,607.3235886635177,0.2421187,10458.059,8055.5415,8474.653,11316.989,9490.8,13540.666,12288.05,7928.0654,8668.264,11495.001,10036.597,12752.465,15400.94,16862.328,16525.416,17912.281,17400.66,15230.223,14437.3955,20537.314,20553.004,25876.021,28396.654,24881.736,10648.972,16047.023,9645.105,11749.091,10040.004,9932.083,8738.139,14270.1875,19585.871,9682.57,12288.216,18840.018,9468.726,12298.496,13739.29,21609.207,11700.746,14015.787,25659.81,13865.834,27809.697,23666.072,24789.707,22451.424,12376.625,7779.59,8769.152,12597.192,11090.072,9607.856,18574.203,16792.398,11871.919,12723.739,14528.347,19127.82,20676.588,14121.396,15387.788,17762.857,14475.879,22194.873,26732.771,20953.252,22102.25,26468.979,22448.572,23234.22,24963.562,28312.113,30532.076,10470.983,8660.801,13389.785,12518.004,18357.645,13622.625,19608.592,7447.2188,9425.99,15599.151,9957.166,19684.064,26775.111,
