mz_rt,beta,control,FC_beta_div_ctrl,p,log2_FC_beta_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
118.0864_0.597,274917.0956878421,327613.3085638855,0.8391511837323071,0.0457,-0.25299734099001275,1.3400837999301498,118.0864,0.597,276073.47,118.0864_0.597,118.0864_0.597,1
1193.3431_6.71,6513.397649656126,7597.55727064225,0.8573015533327496,0.0132,-0.22212533748651872,1.8794260687941502,1193.3431,6.71,6935.0156,1193.3431_6.71,1193.3431_6.71,1
1197.3456_7.08,4162.6811981401415,4791.929065868207,0.8686858968322275,0.0269,-0.20309347941210357,1.570247719997592,1197.3456,7.08,4265.6094,1197.3456_7.08,1197.3456_7.08,1
1218.5051_9.902,5223.540823505637,6092.387654153722,0.8573881243332053,0.0156,-0.22197966033598218,1.8068754016455384,1218.5051,9.902,5975.073,1218.5051_9.902,1218.5051_9.902,1
1226.4736_8.96,3858.896302553261,5084.567020961438,0.7589429516111648,0.00721,-0.39793664998560196,2.142064735280571,1226.4736,8.96,4077.722,1226.4736_8.96,1226.4736_8.96,1
1227.7565_5.834,16227.866967045918,19082.105395810697,0.8504232960901997,0.0127,-0.23374697697711413,1.8961962790440432,1227.7565,5.834,18173.967,1227.7565_5.834,1227.7565_5.834,1
1242.5051_10.22,2725.8964164154354,3506.0950990485444,0.7774736107857334,0.0451,-0.36313438714851576,1.3458234581220394,1242.5051,10.22,3379.365,1242.5051_10.22,1242.5051_10.22,1
1242.5053_9.906,6442.8954615696875,7657.492307256454,0.8413845163728365,0.0241,-0.24916282581519997,1.6179829574251317,1242.5053,9.906,6581.001,1242.5053_9.906,1242.5053_9.906,1
1329.2228_12.335,3643.8587073893364,4832.262680121223,0.75406883867868,0.00741,-0.4072318622593636,2.130181792020672,1329.2228,12.335,4372.673,1329.2228_12.335,1329.2228_12.335,1
1406.1439_6.504,361263.226226271,429873.8287085274,0.8403936273850781,0.0312,-0.250862872636997,1.5058454059815571,1406.1439,6.504,422597.8,1406.1439_6.504,1406.1439_6.504,1
1418.1346_6.507,16154.740452834332,18592.40506089267,0.8688892265376829,0.0162,-0.20275583328087227,1.790484985457369,1418.1346,6.507,18123.242,1418.1346_6.507,1418.1346_6.507,1
1548.6249_6.858,7106.631701136037,8697.407960625063,0.8170976609708555,0.0118,-0.29141957272448776,1.9281179926938745,1548.6249,6.858,8221,1548.6249_6.858,1548.6249_6.858,1
1557.1328_6.71,5435.934442957407,6705.656370780367,0.8106491210382143,0.0073,-0.3028504971844255,2.136677139879544,1557.1328,6.71,6042.471,1557.1328_6.71,1557.1328_6.71,1
1558.1357_6.713,6137.558825237384,7214.4562508784675,0.8507306180545546,0.0378,-0.23322571681944368,1.4225082001627747,1558.1357,6.713,6518.383,1558.1357_6.713,1558.1357_6.713,1
1585.1303_6.711,5495.1490877992965,6615.458826741201,0.8306527531524562,0.032,-0.26768259743877243,1.494850021680094,1585.1303,6.711,6277.4595,1585.1303_6.711,1585.1303_6.711,1
1592.2118_7.764,5500.705475846476,6888.631921430861,0.798519290707567,0.0245,-0.3246008340611585,1.6108339156354674,1592.2118,7.764,6078.282,1592.2118_7.764,1592.2118_7.764,1
1596.6247_6.715,4649.676955100614,5520.196885911966,0.8423027386879992,0.0333,-0.24758923795573257,1.47755576649368,1596.6247,6.715,5251.067,1596.6247_6.715,1596.6247_6.715,1
1597.3162_8.956,15109.558140629917,21730.494847939517,0.6953158796594364,0.0174,-0.5242595566383712,1.7594507517174003,1597.3162,8.956,18945.264,Cluster_1597.3162_8.956,1596.3127_8.957;1597.3162_8.956,2
1601.3486_9.899,40949.94463286603,52338.497874068154,0.7824058063606608,0.0434,-0.35401101808309493,1.3625102704874892,1601.3486,9.899,52054.625,Cluster_1601.3486_9.899,1600.3452_9.899;1601.3486_9.899,2
1611.8348_9.901,4022.637906406154,4965.850213846408,0.8100602581990348,0.0494,-0.30389886470313743,1.3062730510763532,1611.8348,9.901,4848.751,1611.8348_9.901,1611.8348_9.901,1
1612.335_9.9,4731.703092124642,6048.620336820162,0.7822780780802254,0.0284,-0.354246558257065,1.5466816599529623,1612.335,9.9,5668.092,1612.335_9.9,1612.335_9.9,1
1618.2939_8.956,3247.5093203573547,4625.831189956973,0.7020380093869274,0.00302,-0.5103789525775401,2.5199930570428495,1618.2939,8.956,4154.381,1618.2939_8.956,1618.2939_8.956,1
1619.2973_8.957,3646.026389349219,5031.206746827536,0.72468228256536,0.00937,-0.46457947194259264,2.028260409112222,1619.2973,8.957,4614.09,1619.2973_8.957,1619.2973_8.957,1
1624.3414_10.412,3973.181400250619,4751.422787867687,0.8362087689598505,0.0418,-0.25806492250679786,1.3788237182249647,1624.3414,10.412,4208.445,1624.3414_10.412,1624.3414_10.412,1
1624.8418_9.901,4984.083394670365,6050.90348750178,0.8236924295628008,0.0351,-0.2798223657065499,1.454692883534176,1624.8418,9.901,5682.01,1624.8418_9.901,1624.8418_9.901,1
1635.8345_9.901,4667.727273562391,5665.9941240433345,0.8238143512636462,0.0374,-0.2796088359832678,1.4271283977995197,1635.8345,9.901,4894.53,1635.8345_9.901,1635.8345_9.901,1
568.4266_4.64,24977.853594183507,34902.48921926561,0.7156467676923207,0.00818,-0.48268042394094984,2.087246696328677,568.4266,4.64,30159.934,568.4266_4.64,568.4266_4.64,1
569.4277_4.639,11064.607154691794,14958.991274587996,0.7396626518185156,0.00844,-0.4350606640342317,2.073657553374345,569.4277,4.639,13774.206,569.4277_4.639,569.4277_4.639,1
585.2705_0.643,56533.23031146837,88568.04558048194,0.6383027867550326,0.0185,-0.6476871484427331,1.7328282715969863,585.2705,0.643,60525.918,585.2705_0.643,585.2705_0.643,1
593.4762_4.644,4527.279500543237,5906.564679388962,0.7664826758506922,0.0171,-0.3836749106311566,1.7670038896078462,593.4762,4.644,6266.7153,593.4762_4.644,593.4762_4.644,1
692.5581_7.191,9217.264624987061,10785.34700623365,0.8546099276787036,0.0316,-0.22666201853105403,1.5003129173815961,692.5581,7.191,10013.838,692.5581_7.191,692.5581_7.191,1
701.5604_5.818,948464.7598807714,1170180.337983082,0.8105287100580936,0.0478,-0.30306480596767693,1.320572103387881,701.5604,5.818,1096870.6,Cluster_701.5604_5.818,1402.1101_5.819;1403.1135_5.82;701.5604_5.818,3
703.5745_6.822,23503.027213240886,27107.390800101108,0.8670339165639366,0.0394,-0.20583966510629786,1.4045037781744258,703.5745,6.822,26732.525,703.5745_6.822,703.5745_6.822,1
704.3938_6.501,5320.016882709924,6507.700044931015,0.8174957121531434,0.0442,-0.2907169313367269,1.3545777306509081,704.3938,6.501,6314.822,704.3938_6.501,704.3938_6.501,1
704.4038_6.503,5555.190224797867,6907.091378314687,0.8042734518090767,0.0126,-0.3142419958522207,1.899629454882437,704.4038,6.503,6334.15,704.4038_6.503,704.4038_6.503,1
725.5564_6.829,9915.253115931542,11759.881672950662,0.8431422519104067,0.0317,-0.2461520368964908,1.4989407377822486,725.5564,6.829,11801.086,725.5564_6.829,725.5564_6.829,1
741.551_6.153,7385.175516669329,8803.867881687353,0.8388557865607001,0.0234,-0.2535052864831092,1.630784142589857,741.551,6.153,8371.756,741.551_6.153,741.551_6.153,1
751.5717_6.812,41973.11038969774,51905.966393717434,0.8086374901745025,0.0476,-0.30643500327994966,1.322393047279507,751.5717,6.812,44173.656,Cluster_751.5717_6.812,751.5717_6.812;752.5739_6.808,2
781.62_7.043,9435.920134728816,12202.286736064392,0.7732911329513789,0.00711,-0.3709164246049291,2.148130399270234,781.62,7.043,10263.284,781.62_7.043,781.62_7.043,1
785.6542_8.953,586229.5089966786,687862.0491409609,0.8522486590571373,0.0345,-0.23065367048182403,1.4621809049267258,785.6542,8.953,693477.56,Cluster_785.6542_8.953,1570.2972_8.954;1571.3005_8.952;785.6542_8.953,3
799.6692_9.585,205616.54379417704,251122.47561951255,0.8187898884276543,0.0172,-0.2884348088491389,1.764471553092451,799.6692,9.585,228261.52,Cluster_799.6692_9.585,799.6692_9.585;821.6503_9.585,2
801.686_10.409,1134702.422339069,1338514.1721854927,0.8477328413238652,0.0375,-0.23831841644761742,1.4259687322722812,801.686,10.409,1277952.6,Cluster_801.686_10.409,1602.3605_10.41;1603.364_10.411;801.686_10.409;918.7994_10.407,4
809.6525_8.065,66220.06625778745,86422.37456222659,0.7662375234796066,0.0139,-0.38413641706031165,1.856985199745905,809.6525,8.065,68933.03,809.6525_8.065,809.6525_8.065,1
