mz_rt,control,tomato,FC_tom_div_ctrl,p,log2_FC_tom_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1226.4736_8.96,5084.567020961438,3947.8089783528994,0.7764297258897003,0.00139,-0.3650727416828944,2.856985199745905,1226.4736,8.96,4077.722,1226.4736_8.96,1226.4736_8.96,1
1242.5051_10.22,3506.0950990485444,2801.8890959234286,0.7991480598126909,0.047,-0.32346527587833124,1.3279021420642825,1242.5051,10.22,3379.365,1242.5051_10.22,1242.5051_10.22,1
1329.2228_12.335,4832.262680121223,3786.421376823607,0.783571098566318,0.00333,-0.35186390902765136,2.4775557664936803,1329.2228,12.335,4372.673,1329.2228_12.335,1329.2228_12.335,1
1535.1521_6.713,51692.122951118545,43889.34488492742,0.8490528610409435,0.0327,-0.2360737178021307,1.485452247339714,1535.1521,6.713,47612.23,Cluster_1535.1521_6.713,1535.1521_6.713;1536.1554_6.715,2
1557.1328_6.71,6705.656370780367,5769.335458884315,0.8603684918934955,0.0235,-0.21697340301962315,1.6289321377282637,1557.1328,6.71,6042.471,1557.1328_6.71,1557.1328_6.71,1
1591.2114_7.764,7031.768336415187,5832.537248828538,0.8294552621456213,0.0398,-0.26976392542561206,1.4001169279263121,1591.2114,7.764,5984.256,1591.2114_7.764,1591.2114_7.764,1
1592.2118_7.764,6888.631921430861,5540.695472319608,0.8043245067401904,0.0107,-0.3141504171012172,1.9706162223147903,1592.2118,7.764,6078.282,1592.2118_7.764,1592.2118_7.764,1
1597.3162_8.956,21730.494847939517,15771.874826717156,0.7257945544766388,0.00853,-0.46236686234542557,2.069050968832477,1597.3162,8.956,18945.264,Cluster_1597.3162_8.956,1596.3127_8.957;1597.3162_8.956,2
1601.3486_9.899,52338.497874068154,43141.19686034143,0.824272736373589,0.0234,-0.2788063177826887,1.630784142589857,1601.3486,9.899,52054.625,Cluster_1601.3486_9.899,1600.3452_9.899;1601.3486_9.899,2
1611.8348_9.901,4965.850213846408,4211.183333624375,0.8480286662457567,0.0362,-0.2378150612880522,1.4412914294668342,1611.8348,9.901,4848.751,1611.8348_9.901,1611.8348_9.901,1
1612.335_9.9,6048.620336820162,4881.412776702807,0.807029124805183,0.00798,-0.3093073551466371,2.097997108649271,1612.335,9.9,5668.092,1612.335_9.9,1612.335_9.9,1
1618.2939_8.956,4625.831189956973,3508.0351456757326,0.7583577959550146,0.00462,-0.39904941712353803,2.3353580244438743,1618.2939,8.956,4154.381,1618.2939_8.956,1618.2939_8.956,1
1619.2973_8.957,5031.206746827536,3883.189225491691,0.7718206428189944,0.00803,-0.3736624647237558,2.095284454721319,1619.2973,8.957,4614.09,1619.2973_8.957,1619.2973_8.957,1
1622.3263_9.899,11041.64794771073,9572.559379714645,0.8669502437540882,0.03,-0.20597889861336405,1.5228787452803376,1622.3263,9.899,10870.054,1622.3263_9.899,1622.3263_9.899,1
1624.3414_10.412,4751.422787867687,4016.580451028425,0.8453426753107275,0.029,-0.2423918117698766,1.537602002101044,1624.3414,10.412,4208.445,1624.3414_10.412,1624.3414_10.412,1
1635.8345_9.901,5665.9941240433345,4799.354566685351,0.8470454542689259,0.01,-0.23948870515415813,2,1635.8345,9.901,4894.53,1635.8345_9.901,1635.8345_9.901,1
