mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1014.9413_11.924,9242.89663719227,7535.070690741936,0.8152282759954002,0.0158,-0.29472400298756946,1.8013429130455774,1014.9413,11.924,7728.7817,1014.9413_11.924,1014.9413_11.924,1
1028.9572_12.137,4229.25811501332,2700.347382977923,0.6384919788631578,0.00851,-0.6472595988858033,2.070070439915412,1028.9572,12.137,3173.3713,1028.9572_12.137,1028.9572_12.137,1
1039.6688_3.106,11856.51510087236,10093.326404798623,0.8512894656589264,0.0103,-0.23227831707471866,1.9871627752948278,1039.6688,3.106,10021.356,1039.6688_3.106,1039.6688_3.106,1
1041.6842_3.059,7449.75662999336,9311.201666245699,1.2498665565473646,0.037,0.32177407209999803,1.431798275933005,1041.6842,3.059,8576.365,1041.6842_3.059,1041.6842_3.059,1
1041.9353_11.754,3474.5882169237875,4202.9289323195435,1.2096192900926226,0.00938,0.27455305186330653,2.0277971616209354,1041.9353,11.754,4155.742,1041.9353_11.754,1041.9353_11.754,1
1151.8656_7.71,15308.381065076897,13098.023191602519,0.8556112586903861,0.0313,-0.22497262833821596,1.5044556624535514,1151.8656,7.71,15044.833,1151.8656_7.71,1151.8656_7.71,1
1169.3422_6.843,3593.094058488769,4205.642777039092,1.170479455471855,0.0241,0.2270996121526251,1.6179829574251317,1169.3422,6.843,4382.689,1169.3422_6.843,1169.3422_6.843,1
1187.3609_7.137,7111.9864945841155,6094.530106257582,0.856937806462183,0.00861,-0.22273759249184558,2.0649968485463455,1187.3609,7.137,6614.303,1187.3609_7.137,1187.3609_7.137,1
1187.8642_7.137,8318.24839117527,7017.355362481645,0.8436097399936113,0.0359,-0.2453523428575094,1.4449055514216809,1187.8642,7.137,7617.246,1187.8642_7.137,1187.8642_7.137,1
1192.8412_6.709,4113.533366140811,4935.4826122260865,1.1998158694544399,0.0175,0.26281301866083756,1.7569619513137056,1192.8412,6.709,5208.0356,1192.8412_6.709,1192.8412_6.709,1
1193.9116_8.867,3811.4483028576024,3040.763275269032,0.7977973289023085,0.0272,-0.32590580172782174,1.5654310959658013,1193.9116,8.867,3259.787,1193.9116_8.867,1193.9116_8.867,1
