mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1017.6873_3.095,75746.06832956868,62740.61866371087,0.8283019838168825,0.0191,-0.271771250922886,1.7189666327522726,1017.6873,3.095,73127.78,1017.6873_3.095,1017.6873_3.095,1
1020.8931_11.508,9534.40812287714,11570.855922776731,1.2135893254887296,0.00805,0.2792803010698635,2.0942041196321317,1020.8931,11.508,10886.042,1020.8931_11.508,1020.8931_11.508,1
1028.9572_12.137,3355.257954234546,2719.6093344691885,0.8105514900983607,0.0477,-0.30302425936039173,1.321481620959886,1028.9572,12.137,3173.3713,1028.9572_12.137,1028.9572_12.137,1
1034.9093_11.511,4654.976977861581,5509.4467964582,1.1835604821807622,0.015,0.24313343240349689,1.8239087409443189,1034.9093,11.511,5182.441,1034.9093_11.511,1034.9093_11.511,1
1034.911_11.594,2916.4801698592187,3749.816909150652,1.2857337237892688,0.00731,0.36259189060879626,2.1360826230421397,1034.911,11.594,3419.2214,1034.911_11.594,1034.911_11.594,1
1039.6688_3.106,11227.992512649787,9519.359032743938,0.8478237781169828,0.0111,-0.23816366601453043,1.9546770212133426,1039.6688,3.106,10021.356,1039.6688_3.106,1039.6688_3.106,1
104.1071_0.537,161465.31309592092,187109.24484576864,1.158820066416454,0.00309,0.21265657200336247,2.5100415205751654,104.1071,0.537,170244.22,104.1071_0.537,104.1071_0.537,1
1041.9353_11.754,3922.718826825265,4698.411287057835,1.1977435790013922,0.0381,0.26031907932905396,1.4190750243243806,1041.9353,11.754,4155.742,1041.9353_11.754,1041.9353_11.754,1
1083.7892_6.33,2973.595613458023,7205.234816666994,2.4230715111554653,0.0253,1.276836983108266,1.596879478824182,1083.7892,6.33,3955.184,1083.7892_6.33,1083.7892_6.33,1
1151.3639_7.711,10989.611243700134,9335.161327000338,0.8494532809203583,0.00368,-0.23539349207820115,2.4341521813264824,1151.3639,7.711,11167.553,1151.3639_7.711,1151.3639_7.711,1
1151.8656_7.71,15256.603982470213,12579.58724462133,0.8245339040768991,2.06e-5,-0.2783492777098102,4.686132779630847,1151.8656,7.71,15044.833,1151.8656_7.71,1151.8656_7.71,1
118.0864_0.597,254329.23924731856,327613.3085638855,1.2881464574558923,1.05e-5,0.3652966318323613,4.978810700930062,118.0864,0.597,276073.47,118.0864_0.597,118.0864_0.597,1
1192.8412_6.709,4756.778848853043,5607.300171168127,1.1788019475658749,0.034,0.23732134913521283,1.4685210829577449,1192.8412,6.709,5208.0356,1192.8412_6.709,1192.8412_6.709,1
1193.3431_6.71,6572.550709941495,7597.55727064225,1.1559526287336745,0.0141,0.20908227699833878,1.85078088734462,1193.3431,6.71,6935.0156,1193.3431_6.71,1193.3431_6.71,1
1193.9116_8.867,3859.423199800573,2683.466278733611,0.695302416918744,0.0373,-0.5242874904420357,1.4282911681913124,1193.9116,8.867,3259.787,1193.9116_8.867,1193.9116_8.867,1
1204.4035_8.865,5737.215233632016,3991.792517195489,0.6957717907801821,0.0133,-0.5233139070570939,1.8761483590329142,1204.4035,8.865,5006.194,1204.4035_8.865,1204.4035_8.865,1
1205.4054_8.863,6075.639533313853,4030.2776174405785,0.6633503510769233,0.00451,-0.5921570582446574,2.3458234581220396,1205.4054,8.863,5434.1494,1205.4054_8.863,1205.4054_8.863,1
1205.4975_9.898,4667.992761036618,3651.3553392738145,0.7822110114975759,0.0103,-0.35437024927786115,1.9871627752948278,1205.4975,9.898,3774.7139,1205.4975_9.898,1205.4975_9.898,1
1216.4896_9.892,8356.63972431913,7066.304693927857,0.8455916405446803,0.0151,-0.24196698047086634,1.8210230527068305,1216.4896,9.892,7494.0635,1216.4896_9.892,1216.4896_9.892,1
1226.4736_8.96,4270.514725443979,5084.567020961438,1.1906215872918755,0.0436,0.2517149573793826,1.360513510731414,1226.4736,8.96,4077.722,1226.4736_8.96,1226.4736_8.96,1
1231.5117_9.905,4002.54783880502,4879.664357424406,1.2191395465947144,0.0417,0.28586327087829033,1.3798639450262424,1231.5117,9.905,4343.908,1231.5117_9.905,1231.5117_9.905,1
1242.5051_10.22,4428.98007957661,3506.0950990485444,0.7916258452405844,0.0122,-0.33710938018796593,1.9136401693252518,1242.5051,10.22,3379.365,1242.5051_10.22,1242.5051_10.22,1
1242.5053_9.906,6299.320312601362,7657.492307256454,1.2156061173676407,0.025,0.28167584015197616,1.6020599913279623,1242.5053,9.906,6581.001,1242.5053_9.906,1242.5053_9.906,1
1259.7951_10.087,6604.842118913612,5456.059555628198,0.8260696406359567,4.62e-5,-0.27566468374503783,4.335358024443875,1259.7951,10.087,6117.475,1259.7951_10.087,1259.7951_10.087,1
1263.8289_10.349,6958.041825501104,5994.122421581818,0.861466856898368,0.0109,-0.2151328019869357,1.9625735020593764,1263.8289,10.349,6365.2812,1263.8289_10.349,1263.8289_10.349,1
1267.2019_12.079,3888.022352170955,5842.506099343102,1.5026935470370486,0.0493,0.5875508221293901,1.30715308072277,1267.2019,12.079,4624.129,1267.2019_12.079,1267.2019_12.079,1
1272.1559_12.098,1655.6043333124826,3220.2860514123527,1.9450819175915677,0.00295,0.9598309159386896,2.530177984021837,1272.1559,12.098,2192.6936,1272.1559_12.098,1272.1559_12.098,1
1298.1727_12.089,13032.298243491316,15650.456428254138,1.2008976571780348,0.0103,0.2641132070193769,1.9871627752948278,1298.1727,12.089,14869.571,1298.1727_12.089,1298.1727_12.089,1
1298.1983_10.827,14815.688292882174,12812.075689442156,0.8647641227439562,0.00125,-0.20962142497514386,2.9030899869919438,1298.1983,10.827,13962.417,1298.1983_10.827,1298.1983_10.827,1
1299.1762_12.078,12209.891703830297,15230.071548166568,1.2473551705121861,0.00261,0.31887231503060287,2.583359492661719,1299.1762,12.078,14154.547,1299.1762_12.078,1299.1762_12.078,1
1322.2624_10.832,9880.858843860358,6620.746374122378,0.6700577833106373,0.0015,-0.5776425812555934,2.8239087409443187,1322.2624,10.832,7861.585,Cluster_1322.2624_10.832,1322.2624_10.832;1323.2657_10.832,2
1329.2228_12.335,4085.621045706356,4832.262680121223,1.1827486264785922,0.0147,0.24214348545437828,1.832682665251824,1329.2228,12.335,4372.673,1329.2228_12.335,1329.2228_12.335,1
