mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
100.0757_0.629,27274.051329310125,12759.126534302857,0.4678119279108062,0.0419,-1.0959994479931228,1.3777859770337046,100.0757,0.629,19326.107,100.0757_0.629,100.0757_0.629,1
1017.6873_3.095,77236.59803142548,62932.90890023816,0.814806846808976,0.0147,-0.29546999158914106,1.832682665251824,1017.6873,3.095,73127.78,1017.6873_3.095,1017.6873_3.095,1
1026.6606_3.098,3790.447973448663,3159.0078967703485,0.8334128100157482,0.013,-0.2628968196559219,1.8860566476931633,1026.6606,3.098,3362.291,1026.6606_3.098,1026.6606_3.098,1
1036.925_11.654,4475.568413270712,5467.962062854724,1.221735779223354,3.11e-4,0.28893231198106994,3.5072396109731625,1036.925,11.654,5357.8105,1036.925_11.654,1036.925_11.654,1
1039.6688_3.106,11439.600448080586,9815.05564587119,0.8579893756270157,0.019,-0.2209683117605802,1.7212463990471711,1039.6688,3.106,10021.356,1039.6688_3.106,1039.6688_3.106,1
1041.9353_11.754,3516.932241773015,4173.238494358014,1.1866132775575258,0.00603,0.24684983097410834,2.219682687859849,1041.9353,11.754,4155.742,1041.9353_11.754,1041.9353_11.754,1
1128.671_2.722,4319.3332198335,3599.1455699948174,0.8332641606506005,0.0426,-0.2631541649079088,1.3705904008972811,1128.671,2.722,5121.9556,1128.671_2.722,1128.671_2.722,1
1151.8656_7.71,15632.435082353932,13112.331821836804,0.8387901022943093,3.95e-5,-0.2536182571237724,4.403402904373539,1151.8656,7.71,15044.833,1151.8656_7.71,1151.8656_7.71,1
118.0864_0.597,253994.7730264011,306507.91624369123,1.2067489129464555,1.16e-5,0.27112552718652266,4.935542010773082,118.0864,0.597,276073.47,118.0864_0.597,118.0864_0.597,1
1193.9116_8.867,3748.7312782962917,2491.892511675438,0.6647295649337509,0.0108,-0.5891605733450637,1.9665762445130504,1193.9116,8.867,3259.787,1193.9116_8.867,1193.9116_8.867,1
1204.4035_8.865,5700.490183175835,3762.6328004260754,0.6600542549009095,0.00571,-0.5993434794170914,2.243363891754152,1204.4035,8.865,5006.194,1204.4035_8.865,1204.4035_8.865,1
1204.9038_8.864,7164.997694964958,5090.146267323984,0.7104184096110694,0.0267,-0.49325912706411834,1.5734887386354248,1204.9038,8.864,6626.627,1204.9038_8.864,1204.9038_8.864,1
1204.9948_9.897,3171.772156468504,2718.253320970544,0.8570140561411214,0.0329,-0.2226092282872882,1.4828041020500258,1204.9948,9.897,2984.0142,1204.9948_9.897,1204.9948_9.897,1
1205.4054_8.863,6213.75190301203,4263.51484924845,0.6861417893401522,0.0159,-0.5434213586632191,1.7986028756795485,1205.4054,8.863,5434.1494,1205.4054_8.863,1205.4054_8.863,1
1205.4975_9.898,3983.0221348581467,3408.962391104402,0.8558733232412253,0.0253,-0.22453081398027808,1.596879478824182,1205.4975,9.898,3774.7139,1205.4975_9.898,1205.4975_9.898,1
1216.4896_9.892,7824.685049687127,6619.0866425217455,0.8459237145636185,0.00809,-0.24140052797602132,2.0920514783877278,1216.4896,9.892,7494.0635,1216.4896_9.892,1216.4896_9.892,1
1216.9911_9.896,6757.5987030423785,5728.984043469722,0.8477839977225108,0.0268,-0.23823135970956738,1.5718652059712113,1216.9911,9.896,6368.908,1216.9911_9.896,1216.9911_9.896,1
1231.5117_9.905,3646.288944448654,4482.045230613203,1.2292073664203047,0.0186,0.29772831788324466,1.7304870557820837,1231.5117,9.905,4343.908,1231.5117_9.905,1231.5117_9.905,1
1242.5053_9.906,5900.179767693385,7291.572483432528,1.235822088567158,0.0108,0.30547106491178877,1.9665762445130504,1242.5053,9.906,6581.001,1242.5053_9.906,1242.5053_9.906,1
1260.0333_9.997,1570.3029114040921,2334.6624800946615,1.4867593144860913,0.03,0.5721711141676552,1.5228787452803376,1260.0333,9.997,1676.9,1260.0333_9.997,1260.0333_9.997,1
