mz_rt,beta,red,FC_beta_div_red,p,log2_FC_beta_div_red,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1157.3434_6.852,10542.748427857963,12956.634260126706,0.8136949933288357,0.0132,-0.29743998107481323,1.8794260687941502,1157.3434,6.852,11749.068,1157.3434_6.852,1157.3434_6.852,1
1363.015_6.835,4338.620018368466,5859.723534855675,0.740413774226863,0.0152,-0.43359636037047095,1.8181564120552274,1363.015,6.835,6341.818,1363.015_6.835,1363.015_6.835,1
1511.145_6.854,5343.95839131896,6192.337521528625,0.8629953345953538,0.0356,-0.21257533475814963,1.448550002027125,1511.145,6.854,5922.766,1511.145_6.854,1511.145_6.854,1
1536.6252_6.856,5893.462503818006,6992.461727401088,0.8428308560808454,0.0393,-0.24668496262589973,1.4056074496245732,1536.6252,6.856,6399.0186,1536.6252_6.856,1536.6252_6.856,1
508.3578_0.689,2829.8584668417993,3760.2328319571643,0.7525753306528324,0.0256,-0.4100920961115685,1.5917600346881504,508.3578,0.689,3343.5176,508.3578_0.689,508.3578_0.689,1
536.437_10.971,18465.433276611417,59392.25850336807,0.31090639995723113,7.95e-13,-1.6854477802620143,12.09963287134353,536.437,10.971,28154.94,Cluster_536.437_10.971,536.437_10.971;537.4409_10.971,2
541.3858_4.202,3241.882377489568,4311.556515406371,0.7519053422831026,0.00922,-0.41137704310988854,2.0352690789463708,541.3858,4.202,3936.174,541.3858_4.202,541.3858_4.202,1
692.5581_7.191,9217.264624987061,11045.00943390141,0.8345184927317225,0.0242,-0.26098407516558525,1.6161846340195687,692.5581,7.191,10013.838,692.5581_7.191,692.5581_7.191,1
699.5412_5.971,5147.278803061171,6581.757586125822,0.7820523219985349,0.0277,-0.3546629628500463,1.5575202309355514,699.5412,5.971,5669.06,699.5412_5.971,699.5412_5.971,1
717.5903_7.018,47131.85425125608,54753.01519159011,0.8608083789784674,0.0271,-0.21623597394931973,1.5670307091255944,717.5903,7.018,50538.844,717.5903_7.018,717.5903_7.018,1
748.6211_9.504,8543.164150170209,10347.548179889889,0.8256220702382,0.00256,-0.27644655799535417,2.5917600346881504,748.6211,9.504,10522.378,748.6211_9.504,748.6211_9.504,1
750.52_0.687,2744.1526686925467,3664.3224625102976,0.7488840561298814,0.0342,-0.4171857201211661,1.465973893943865,750.52,0.687,3535.72,Cluster_750.52_0.687,736.5043_0.684;750.52_0.687,2
805.6187_7.848,15092.382544448403,17830.938943759804,0.8464154687563552,0.0489,-0.24056210106709244,1.3106911408763797,805.6187,7.848,15574.151,805.6187_7.848,805.6187_7.848,1
806.973_6.716,3469.3212890765085,4117.770130438428,0.8425242738615722,0.0362,-0.24720984268754467,1.4412914294668342,806.973,6.716,3774.5999,806.973_6.716,806.973_6.716,1
824.6537_9.596,9390.162907876032,11139.972449152056,0.8429251464253653,0.00909,-0.2465235724693383,2.0414361167780326,824.6537,9.596,10490.197,824.6537_9.596,824.6537_9.596,1
825.6815_9.335,10174.576410788002,13290.943698802632,0.7655270115774112,0.0421,-0.3854748108510622,1.3757179041643317,825.6815,9.335,9390.847,825.6815_9.335,825.6815_9.335,1
834.5933_5.658,8407.707237989474,9884.916865105677,0.8505592260132366,0.026,-0.23351639797498694,1.585026652029182,834.5933,5.658,9164.196,834.5933_5.658,834.5933_5.658,1
972.8574_11.264,2645.8004018529796,3740.4424180480246,0.7073495876013802,0.0103,-0.4995046922312406,1.9871627752948278,972.8574,11.264,3171.2522,972.8574_11.264,972.8574_11.264,1
